Datetime (UTC),Temperature (deg C),Pressure (hPa)
20240212_060540,27.76,1006.19
20240212_060543,28.07,1008.73
20240212_060546,28.22,1012.63
20240212_060549,28.03,1012.58
20240212_060552,27.94,1007.04
20240212_060555,28.15,1008.13
20240212_060558,28.04,1015.59
20240212_060601,28.17,1008.51
20240212_060604,28.05,1012.43
20240212_060607,27.92,1008.79
20240212_060610,27.79,1009.14
20240212_060613,27.92,999.78
20240212_060616,27.96,1003.41
20240212_060619,27.94,1014.65
20240212_060622,28.04,999.31
20240212_060625,28.13,1002.81
20240212_060628,28.07,1013.22
20240212_060631,28.00,1009.24
20240212_060634,27.95,1005.84
20240212_060637,27.91,1012.38
20240212_060640,28.15,1010.38
20240212_060643,28.12,1011.43
20240212_060646,28.00,1006.56
20240212_060649,28.12,1004.58
20240212_060652,27.99,1015.46
20240212_060655,27.94,1006.32
20240212_060658,27.98,1005.84
20240212_060701,27.97,1013.32
20240212_060704,27.85,1008.74
20240212_060707,28.11,1008.52
20240212_060710,27.98,1005.14
20240212_060713,28.03,1010.44
20240212_060716,27.97,1013.24
20240212_060719,27.98,1007.07
20240212_060722,27.88,1009.86
20240212_060725,28.07,1007.17
20240212_060728,28.00,1006.12
20240212_060731,27.66,1013.61
20240212_060734,27.90,1010.85
20240212_060737,28.09,999.82
20240212_060740,28.02,1003.72
20240212_060743,28.07,1005.60
20240212_060746,27.97,1004.91
20240212_060749,28.03,1009.24
20240212_060752,27.93,998.49
20240212_060755,28.16,1005.21
20240212_060758,27.96,1011.32
20240212_060801,27.95,1012.40
20240212_060804,28.05,1001.16
20240212_060807,27.94,1007.13
20240212_060810,28.21,1007.67
20240212_060813,27.98,1008.12
20240212_060816,27.82,1007.58
20240212_060819,28.02,1008.54
20240212_060822,28.07,1005.25
20240212_060825,27.99,1015.78
20240212_060828,27.96,1007.59
20240212_060831,28.14,1000.86
20240212_060834,28.04,1011.43
20240212_060837,28.11,1014.84
20240212_060840,28.19,1007.86
20240212_060843,28.10,1002.71
20240212_060846,28.03,1010.74
20240212_060849,27.87,1013.20
20240212_060852,28.07,1007.09
20240212_060855,27.92,1002.19
20240212_060858,27.84,1008.48
20240212_060901,28.15,1006.34
20240212_060904,28.12,998.79
20240212_060907,27.93,1005.42
20240212_060910,28.01,1010.13
20240212_060913,27.98,1010.00
20240212_060916,27.88,1006.05
20240212_060919,28.05,1009.53
20240212_060922,28.05,1001.82
20240212_060925,28.05,1001.98
20240212_060928,28.21,1001.42
20240212_060931,28.01,1011.30
20240212_060934,27.97,998.42
20240212_060937,28.18,1007.31
20240212_060940,27.90,1011.59
20240212_060943,28.09,999.63
20240212_060946,27.97,1011.76
20240212_060949,27.93,1013.10
20240212_060952,27.88,1003.92
20240212_060955,27.92,1005.31
20240212_060958,28.01,1007.48
20240212_061001,27.99,1016.87
20240212_061004,28.19,1011.22
20240212_061007,27.96,999.92
20240212_061010,27.99,1013.82
20240212_061013,28.24,1008.73
20240212_061016,28.01,1001.43
20240212_061019,27.99,1004.74
20240212_061022,28.04,1008.19
20240212_061025,28.01,1015.02
20240212_061028,28.01,1009.56
20240212_061031,28.08,1006.29
20240212_061034,28.09,998.46
20240212_061037,27.91,1012.31
20240212_061040,28.11,1006.45
20240212_061043,27.97,1003.91
20240212_061046,28.00,1002.36
20240212_061049,28.03,999.61
20240212_061052,28.10,1005.09
20240212_061055,27.96,1005.79
20240212_061058,27.95,1000.13
20240212_061101,28.16,1010.49
20240212_061104,28.08,1001.07
20240212_061107,28.02,997.64
20240212_061110,28.11,997.49
20240212_061113,28.00,999.93
20240212_061116,28.00,997.84
20240212_061119,27.94,1007.43
20240212_061122,27.93,1007.76
20240212_061125,27.95,1007.10
20240212_061128,27.90,1007.43
20240212_061131,28.02,1013.18
20240212_061134,28.06,1013.41
20240212_061137,27.88,1000.94
20240212_061140,27.89,1010.38
20240212_061143,27.76,1003.01
20240212_061146,27.92,1005.84
20240212_061149,28.02,1001.82
20240212_061152,28.07,1018.49
20240212_061155,27.92,1018.44
20240212_061158,28.07,1010.45
20240212_061201,27.91,1005.72
20240212_061204,27.93,1004.94
20240212_061207,27.86,999.94
20240212_061210,28.00,1011.62
20240212_061213,27.93,1002.01
20240212_061216,28.20,1009.48
20240212_061219,27.87,1009.08
20240212_061222,28.15,1007.31
20240212_061225,28.14,1017.54
20240212_061228,27.93,999.21
20240212_061231,27.89,1007.84
20240212_061234,27.84,1007.19
20240212_061237,27.98,1011.57
20240212_061240,27.82,1005.52
20240212_061243,27.98,1010.32
20240212_061246,27.94,1001.32
20240212_061249,28.02,999.79
20240212_061252,27.98,1002.44
20240212_061255,28.09,1004.31
20240212_061258,27.96,1008.16
20240212_061301,27.87,1006.58
20240212_061304,27.89,1013.30
20240212_061307,28.04,1008.44
20240212_061310,27.99,1012.28
20240212_061313,28.07,1000.92
20240212_061316,28.09,1010.19
20240212_061319,27.97,1014.96
20240212_061322,28.09,1002.76
20240212_061325,28.04,1008.52
20240212_061328,28.13,1004.42
20240212_061331,27.97,1003.41
20240212_061334,28.01,1013.91
20240212_061337,27.97,1018.43
20240212_061340,28.00,1022.68
20240212_061343,28.23,1003.85
20240212_061346,27.86,1004.68
20240212_061349,28.02,1000.51
20240212_061352,28.09,1009.09
20240212_061355,27.99,1006.27
20240212_061358,28.05,1010.61
20240212_061401,27.88,1006.90
20240212_061404,28.01,1017.16
20240212_061407,27.96,1004.40
20240212_061410,28.10,1007.44
20240212_061413,28.09,1014.17
20240212_061416,27.83,1006.84
20240212_061419,27.98,1006.96
20240212_061422,27.89,1015.66
20240212_061425,27.93,1001.63
20240212_061428,28.14,1010.92
20240212_061431,27.99,1013.86
20240212_061434,27.96,1010.72
20240212_061437,28.24,1000.40
20240212_061440,28.04,1001.33
20240212_061443,27.98,1007.06
20240212_061446,28.00,1000.48
20240212_061449,28.03,1007.05
20240212_061452,28.01,1004.60
20240212_061455,27.87,1017.47
20240212_061458,27.94,1011.31
20240212_061501,27.95,1009.47
20240212_061504,28.01,1008.84
20240212_061507,28.10,1005.66
20240212_061510,28.08,1008.70
20240212_061513,28.20,1016.12
20240212_061516,28.06,1005.72
20240212_061519,27.99,1004.34
20240212_061522,27.92,1000.99
20240212_061525,28.17,1007.08
20240212_061528,28.05,1006.30
20240212_061531,27.90,1003.29
20240212_061534,27.88,1007.44
20240212_061537,27.85,1009.46
20240212_061540,27.97,1005.65
20240212_061543,28.00,1001.26
20240212_061546,28.07,1006.00
20240212_061549,28.02,1011.62
20240212_061552,27.90,1005.47
20240212_061555,27.92,1012.91
20240212_061558,28.08,1004.84
20240212_061601,27.85,1003.47
20240212_061604,27.93,1005.46
20240212_061607,27.97,1014.74
20240212_061610,27.90,1011.24
20240212_061613,28.05,1004.45
20240212_061616,27.87,1003.82
20240212_061619,28.15,1005.36
20240212_061622,27.87,1005.43
20240212_061625,27.97,1008.37
20240212_061628,27.98,1008.64
20240212_061631,27.93,1017.37
20240212_061634,27.79,997.01
20240212_061637,27.89,999.42
20240212_061640,27.95,1010.38
20240212_061643,27.91,1012.86
20240212_061646,28.09,1005.97
20240212_061649,28.01,1005.59
20240212_061652,28.13,1016.38
20240212_061655,28.05,1009.18
20240212_061658,27.94,1006.31
20240212_061702,27.99,1003.80
20240212_061705,28.08,1003.03
20240212_061708,27.92,1001.37
20240212_061711,27.94,1004.88
20240212_061714,27.99,1005.47
20240212_061717,28.08,997.54
20240212_061720,28.08,1005.78
20240212_061723,27.81,1006.66
20240212_061726,28.06,1012.78
20240212_061729,27.74,1019.26
20240212_061732,28.02,1006.47
20240212_061735,27.87,1009.66
20240212_061738,27.86,1013.84
20240212_061741,27.94,998.43
20240212_061744,28.01,1013.26
20240212_061747,27.99,1009.37
20240212_061750,28.07,1003.01
20240212_061753,27.84,1016.81
20240212_061756,27.85,1007.00
20240212_061759,28.01,1011.69
20240212_061802,27.87,1012.13
20240212_061805,28.04,1012.09
20240212_061808,28.16,1007.27
20240212_061811,28.00,1001.59
20240212_061814,27.80,1002.11
20240212_061817,28.10,1009.81
20240212_061820,28.09,1010.68
20240212_061823,27.93,1008.10
20240212_061826,27.89,999.99
20240212_061829,27.99,996.32
20240212_061832,28.00,1010.02
20240212_061835,27.94,1006.51
20240212_061838,27.81,1011.90
20240212_061841,27.93,1010.48
20240212_061844,27.90,1006.06
20240212_061847,28.08,1011.62
20240212_061850,27.87,1009.85
20240212_061853,28.06,1009.76
20240212_061856,28.12,1004.20
20240212_061859,28.01,1006.29
20240212_061902,27.97,1003.80
20240212_061905,27.96,1004.88
20240212_061908,27.91,1007.11
20240212_061911,28.14,1007.09
20240212_061914,27.96,1001.51
20240212_061917,28.06,1005.78
20240212_061920,27.96,1016.66
20240212_061923,28.00,1010.01
20240212_061926,28.01,1003.85
20240212_061929,28.01,1008.34
20240212_061932,28.00,1005.00
20240212_061935,28.00,1004.67
20240212_061938,28.04,1006.21
20240212_061941,28.22,1010.59
20240212_061944,28.06,1003.74
20240212_061947,27.95,1005.69
20240212_061950,27.96,991.19
20240212_061953,28.04,1003.25
20240212_061956,27.97,1001.08
20240212_061959,28.07,1013.99
20240212_062002,27.90,1008.10
20240212_062005,28.07,1007.28
20240212_062008,27.95,1011.64
20240212_062011,28.13,1004.55
20240212_062014,27.83,1009.79
20240212_062017,28.08,1001.47
20240212_062020,28.06,1005.86
20240212_062023,28.08,999.32
20240212_062026,27.99,1012.15
20240212_062029,28.06,1004.93
20240212_062032,27.97,1011.87
20240212_062035,28.12,1009.80
20240212_062038,27.95,999.00
20240212_062041,27.95,1003.96
20240212_062044,27.94,1012.93
20240212_062047,28.00,1004.15
20240212_062050,27.94,1016.33
20240212_062053,28.05,1006.53
20240212_062056,28.13,1013.05
20240212_062059,27.97,1008.94
20240212_062102,28.06,1003.52
20240212_062105,28.04,1010.30
20240212_062108,27.94,1013.64
20240212_062111,28.13,1003.27
20240212_062114,27.99,1001.32
20240212_062117,28.06,1000.68
20240212_062120,28.09,1011.36
20240212_062123,27.92,1009.13
20240212_062126,27.84,1002.53
20240212_062129,27.99,1011.61
20240212_062132,27.96,1012.21
20240212_062135,27.86,1005.93
20240212_062138,27.78,1012.01
20240212_062141,28.09,1009.19
20240212_062144,28.07,1010.66
20240212_062147,28.10,1012.27
20240212_062150,27.96,1011.97
20240212_062153,27.90,1003.12
20240212_062156,27.98,1008.99
20240212_062159,27.92,1002.11
20240212_062202,27.86,1007.93
20240212_062205,28.00,1006.85
20240212_062208,28.05,1009.55
20240212_062211,27.92,996.12
20240212_062214,27.91,1013.91
20240212_062217,28.05,1001.22
20240212_062220,27.84,1005.35
20240212_062223,27.88,1005.91
20240212_062226,28.18,1005.53
20240212_062229,27.93,1014.30
20240212_062232,27.89,995.92
20240212_062235,27.87,1007.06
20240212_062238,28.10,1015.76
20240212_062241,27.98,1008.89
20240212_062244,27.92,1010.34
20240212_062247,28.10,1005.56
20240212_062250,28.11,1013.30
20240212_062253,27.90,1004.71
20240212_062256,28.12,1017.35
20240212_062259,28.06,999.79
20240212_062302,27.97,1011.23
20240212_062305,27.87,999.48
20240212_062308,28.01,1010.46
20240212_062311,28.16,1004.67
20240212_062314,27.94,1009.34
20240212_062317,28.10,1012.00
20240212_062320,28.19,1010.09
20240212_062323,27.88,1008.36
20240212_062326,27.76,1020.57
20240212_062329,28.17,1003.85
20240212_062332,27.88,1009.98
20240212_062335,27.66,1012.96
20240212_062338,27.99,1007.70
20240212_062341,28.14,1016.31
20240212_062344,28.01,1007.60
20240212_062347,27.96,1008.35
20240212_062350,28.07,991.66
20240212_062353,27.92,1005.84
20240212_062356,27.86,1002.16
20240212_062359,28.05,1006.79
20240212_062402,28.18,1017.50
20240212_062405,28.11,1009.74
20240212_062408,27.83,1007.58
20240212_062411,28.00,1009.19
20240212_062414,28.06,1010.02
20240212_062417,27.88,1007.40
20240212_062420,28.08,1010.15
20240212_062423,28.02,1010.20
20240212_062426,27.91,1007.45
20240212_062429,27.99,1000.66
20240212_062432,28.06,1013.03
20240212_062435,27.96,1006.60
20240212_062438,27.94,1007.62
20240212_062441,27.91,1009.68
20240212_062444,28.02,1010.41
20240212_062447,28.02,1008.43
20240212_062450,28.02,1000.11
20240212_062453,28.12,1006.26
20240212_062456,27.99,1000.05
20240212_062459,27.88,1002.06
20240212_062502,27.99,1005.25
20240212_062505,27.93,1003.90
20240212_062508,28.14,1010.57
20240212_062511,28.01,1015.98
20240212_062514,27.97,1015.20
20240212_062517,27.95,1010.43
20240212_062520,27.96,1013.67
20240212_062523,27.90,1011.87
20240212_062526,27.99,1011.62
20240212_062529,27.86,1003.90
20240212_062532,27.88,1009.81
20240212_062535,27.90,998.06
20240212_062538,27.83,1002.28
20240212_062541,28.00,1016.26
20240212_062544,27.99,1020.80
20240212_062547,27.97,1011.63
20240212_062550,27.92,999.65
20240212_062553,27.82,1011.50
20240212_062556,28.00,1009.44
20240212_062559,27.93,1005.09
20240212_062602,27.99,1006.86
20240212_062605,27.95,1011.75
20240212_062608,28.11,1000.20
20240212_062611,27.91,1001.53
20240212_062614,27.96,999.62
20240212_062617,27.88,1012.63
20240212_062620,27.95,1009.13
20240212_062623,27.94,999.48
20240212_062626,27.90,1010.40
20240212_062629,27.94,1006.41
20240212_062632,28.14,1002.52
20240212_062635,27.97,1003.75
20240212_062638,27.95,1008.10
20240212_062641,27.90,1007.30
20240212_062644,27.96,989.46
20240212_062647,27.79,1005.42
20240212_062650,27.97,1007.56
20240212_062653,28.03,1011.43
20240212_062656,28.03,1012.24
20240212_062659,27.90,1013.34
20240212_062702,28.04,1007.83
20240212_062705,27.95,1011.19
20240212_062708,28.04,1001.87
20240212_062711,28.00,1004.30
20240212_062714,28.11,1007.59
20240212_062717,27.89,1003.37
20240212_062720,28.02,1003.41
20240212_062723,27.88,1004.15
20240212_062726,28.04,1007.08
20240212_062729,27.76,1019.68
20240212_062732,28.03,1008.87
20240212_062735,28.22,1008.86
20240212_062738,27.90,1012.27
20240212_062741,28.06,1001.33
20240212_062744,27.93,1013.97
20240212_062747,28.21,1012.81
20240212_062750,27.96,1008.96
20240212_062753,27.77,1017.41
20240212_062756,28.02,1012.24
20240212_062759,27.95,1005.62
20240212_062802,28.03,1017.65
20240212_062805,27.93,1010.17
20240212_062808,27.93,1017.03
20240212_062811,27.73,1007.27
20240212_062814,27.97,1008.68
20240212_062817,27.83,1011.33
20240212_062820,27.97,1009.22
20240212_062823,27.89,1008.72
20240212_062826,28.17,1007.35
20240212_062829,27.96,1013.74
20240212_062832,27.98,1018.39
20240212_062835,27.84,1007.50
20240212_062838,27.75,1008.48
20240212_062841,27.84,1004.40
20240212_062844,27.95,1011.54
20240212_062847,28.04,1002.88
20240212_062850,27.89,1007.95
20240212_062853,27.99,1004.94
20240212_062856,27.95,1011.22
20240212_062859,27.81,1007.00
20240212_062902,28.01,1006.84
20240212_062905,27.93,998.19
20240212_062908,28.14,1012.86
20240212_062911,28.11,996.05
20240212_062914,27.99,1004.53
20240212_062917,27.97,1006.57
20240212_062920,28.03,1008.71
20240212_062923,28.01,1007.21
20240212_062926,27.95,1007.17
20240212_062929,28.21,1004.40
20240212_062932,27.98,1008.64
20240212_062935,27.86,1014.74
20240212_062938,27.90,1010.57
20240212_062941,27.95,1010.51
20240212_062944,27.98,1013.41
20240212_062947,28.00,1001.21
20240212_062950,28.26,1005.71
20240212_062953,27.95,1009.97
20240212_062956,27.80,1007.38
20240212_062959,27.97,1009.65
20240212_063002,28.03,1007.73
20240212_063006,28.08,1011.34
20240212_063009,27.80,1005.79
20240212_063012,28.06,1009.72
20240212_063015,27.95,1003.20
20240212_063018,27.91,1010.22
20240212_063021,27.87,1005.05
20240212_063024,27.98,1008.75
20240212_063027,27.89,1001.47
20240212_063030,27.94,1006.17
20240212_063033,28.08,1002.21
20240212_063036,27.79,1005.19
20240212_063039,27.96,1005.70
20240212_063042,27.90,1001.80
20240212_063045,27.91,1011.82
20240212_063048,27.93,999.74
20240212_063051,27.91,1005.30
20240212_063054,27.84,1010.21
20240212_063057,27.83,1002.07
20240212_063100,27.81,1004.77
20240212_063103,27.91,1011.42
20240212_063106,27.94,1013.53
20240212_063109,27.95,1009.28
20240212_063112,27.87,1011.76
20240212_063115,28.01,1000.70
20240212_063118,28.06,1004.57
20240212_063121,28.11,1009.31
20240212_063124,28.20,1012.96
20240212_063127,28.00,1015.06
20240212_063130,27.88,1014.52
20240212_063133,28.04,1014.00
20240212_063136,27.80,1010.42
20240212_063139,27.95,1007.02
20240212_063142,27.84,1009.25
20240212_063145,28.01,1002.68
20240212_063148,27.92,1004.32
20240212_063151,28.00,1012.69
20240212_063154,27.88,1006.11
20240212_063157,27.92,1010.43
20240212_063200,28.14,1003.14
20240212_063203,27.86,1011.40
20240212_063206,27.87,1015.30
20240212_063209,27.89,1009.64
20240212_063212,28.08,1004.67
20240212_063215,28.10,1000.86
20240212_063218,27.99,1015.88
20240212_063221,27.99,1011.71
20240212_063224,27.75,1006.93
20240212_063227,27.96,1017.13
20240212_063230,27.98,1008.73
20240212_063233,27.84,1007.28
20240212_063236,27.95,1006.95
20240212_063239,27.93,1006.86
20240212_063242,27.88,1011.05
20240212_063245,27.87,1005.41
20240212_063248,28.05,1009.61
20240212_063251,28.02,1003.00
20240212_063254,27.78,1010.32
20240212_063257,28.08,1015.99
20240212_063300,27.80,1004.54
20240212_063303,27.81,1003.07
20240212_063306,27.98,1004.47
20240212_063309,27.87,1004.34
20240212_063312,27.90,1011.69
20240212_063315,27.93,1013.97
20240212_063318,27.95,1003.96
20240212_063321,28.03,1009.87
20240212_063324,27.97,1009.95
20240212_063327,27.71,1011.22
20240212_063330,27.94,1005.43
20240212_063333,27.97,1004.75
20240212_063336,28.03,1007.04
20240212_063339,28.08,1011.49
20240212_063342,27.85,1011.91
20240212_063345,27.88,1005.83
20240212_063348,27.91,1013.80
20240212_063351,27.94,1008.80
20240212_063354,27.76,1012.95
20240212_063357,27.88,1009.46
20240212_063400,28.11,996.81
20240212_063403,27.97,1003.50
20240212_063406,27.92,1016.57
20240212_063409,27.92,1007.12
20240212_063412,27.99,1011.60
20240212_063415,28.16,1011.65
20240212_063418,27.93,1017.36
20240212_063421,27.82,1007.62
20240212_063424,27.96,1011.79
20240212_063427,28.04,1005.34
20240212_063430,28.09,1004.57
20240212_063433,27.77,1007.03
20240212_063436,27.79,1010.74
20240212_063439,27.96,1013.49
20240212_063442,27.84,1010.34
20240212_063445,28.13,1007.16
20240212_063448,27.96,1012.87
20240212_063451,27.86,1011.57
20240212_063454,28.11,1009.56
20240212_063457,28.04,1013.22
20240212_063500,27.88,1011.99
20240212_063503,27.75,1010.45
20240212_063506,27.89,1014.99
20240212_063509,27.73,1013.08
20240212_063512,27.96,1010.06
20240212_063515,27.94,1004.88
20240212_063518,27.81,1001.00
20240212_063521,28.05,1016.87
20240212_063524,27.78,999.66
20240212_063527,27.99,992.90
20240212_063530,27.84,1007.83
20240212_063533,27.89,1005.56
20240212_063536,27.90,1014.38
20240212_063539,27.95,1017.80
20240212_063542,27.79,1001.30
20240212_063545,27.85,1015.68
20240212_063548,28.02,1013.82
20240212_063551,28.04,996.48
20240212_063554,27.85,1014.14
20240212_063557,27.80,1010.50
20240212_063600,28.03,1012.08
20240212_063603,27.91,1010.82
20240212_063606,27.91,1006.15
20240212_063609,27.86,1008.93
20240212_063612,27.80,1012.30
20240212_063615,27.77,1000.28
20240212_063618,27.86,1009.09
20240212_063621,27.96,1002.39
20240212_063624,27.75,1010.19
20240212_063627,27.85,1006.84
20240212_063630,27.77,1008.93
20240212_063633,27.81,1011.47
20240212_063636,27.86,1008.13
20240212_063639,27.94,1010.92
20240212_063642,28.10,1005.31
20240212_063645,27.98,1014.36
20240212_063648,27.98,1008.74
20240212_063651,28.02,996.04
20240212_063654,27.80,1005.20
20240212_063657,28.02,1002.38
20240212_063700,27.83,1014.36
20240212_063703,27.88,1009.42
20240212_063706,28.09,1017.43
20240212_063709,28.10,1006.33
20240212_063712,28.07,1013.44
20240212_063715,27.77,1008.87
20240212_063718,27.81,1014.52
20240212_063721,28.03,1010.11
20240212_063724,28.01,1006.52
20240212_063727,27.79,1011.35
20240212_063730,27.87,1004.02
20240212_063733,27.76,1008.17
20240212_063736,27.87,1011.58
20240212_063739,27.95,1007.48
20240212_063742,27.87,1007.63
20240212_063745,27.89,998.38
20240212_063748,27.91,1017.19
20240212_063751,27.89,1004.10
20240212_063754,27.95,1008.31
20240212_063757,28.07,999.05
20240212_063800,27.87,1016.44
20240212_063803,27.90,1015.53
20240212_063806,28.05,1006.12
20240212_063809,27.86,1008.45
20240212_063812,27.79,1006.43
20240212_063815,27.87,1010.84
20240212_063818,27.97,1009.35
20240212_063821,28.00,1010.03
20240212_063824,27.97,1007.60
20240212_063827,27.82,1004.69
20240212_063830,27.88,1014.35
20240212_063833,27.79,1007.79
20240212_063836,27.90,1012.33
20240212_063839,27.77,1015.25
20240212_063842,27.93,1000.50
20240212_063845,27.87,1014.35
20240212_063848,28.01,1004.63
20240212_063851,27.97,1010.59
20240212_063854,27.78,1012.39
20240212_063857,27.95,998.55
20240212_063900,28.06,1013.65
20240212_063903,27.90,1026.96
20240212_063906,27.87,1008.85
20240212_063909,27.87,1005.06
20240212_063912,27.92,1007.36
20240212_063915,28.06,1009.89
20240212_063918,27.85,1001.69
20240212_063921,27.90,1014.84
20240212_063924,27.88,1014.74
20240212_063927,27.82,998.29
20240212_063930,27.93,1009.50
20240212_063933,27.82,1008.11
20240212_063936,27.82,1012.31
20240212_063939,27.97,1014.51
20240212_063942,27.88,1009.59
20240212_063945,27.64,1013.44
20240212_063948,27.80,1008.86
20240212_063951,28.05,1006.82
20240212_063954,27.87,1002.14
20240212_063957,28.08,1013.96
20240212_064000,27.81,1005.25
20240212_064003,27.99,1012.13
20240212_064006,27.86,1011.25
20240212_064009,27.88,1005.40
20240212_064012,27.86,1008.46
20240212_064015,27.93,1009.38
20240212_064018,27.93,998.74
20240212_064021,27.91,1016.46
20240212_064024,27.77,1006.11
20240212_064027,28.07,1010.66
20240212_064030,27.86,1012.04
20240212_064033,27.91,1000.94
20240212_064036,28.01,1016.91
20240212_064039,28.11,1007.80
20240212_064042,28.00,1008.20
20240212_064045,27.97,1006.60
20240212_064048,28.06,1012.10
20240212_064051,27.79,1011.22
20240212_064054,28.03,1010.01
20240212_064057,27.83,1005.66
20240212_064100,27.75,1007.10
20240212_064103,28.09,1009.05
20240212_064106,27.83,1010.43
20240212_064109,27.92,1006.77
20240212_064112,27.81,1006.27
20240212_064115,27.90,1003.37
20240212_064118,27.93,1012.08
20240212_064121,27.81,999.33
20240212_064124,27.79,1016.27
20240212_064127,27.90,1007.04
20240212_064130,27.94,1011.06
20240212_064133,27.81,1002.03
20240212_064136,28.02,1012.93
20240212_064139,27.85,1014.19
20240212_064142,27.95,1001.90
20240212_064145,27.83,1004.89
20240212_064148,28.08,1015.04
20240212_064151,27.87,1014.28
20240212_064154,27.91,1006.07
20240212_064157,28.04,1005.88
20240212_064200,27.88,1001.93
20240212_064203,28.03,1008.49
20240212_064206,27.85,1015.49
20240212_064209,27.86,1005.99
20240212_064212,27.84,1005.78
20240212_064215,27.82,1003.55
20240212_064218,27.90,1015.03
20240212_064221,27.96,1003.99
20240212_064224,27.63,1010.57
20240212_064227,27.84,1007.17
20240212_064230,28.07,1008.34
20240212_064233,27.79,1006.97
20240212_064236,27.97,1001.78
20240212_064239,28.02,1014.08
20240212_064242,28.03,997.92
20240212_064245,27.59,1009.67
20240212_064248,27.79,1008.85
20240212_064251,27.87,1010.55
20240212_064254,27.82,1009.88
20240212_064257,27.86,1010.80
20240212_064300,27.93,1009.11
20240212_064303,27.94,1008.67
20240212_064306,27.79,1004.97
20240212_064309,27.91,1007.66
20240212_064312,27.87,1004.27
20240212_064315,27.92,1003.67
20240212_064319,28.02,1008.99
20240212_064322,27.93,1011.02
20240212_064325,27.83,1007.84
20240212_064328,27.94,1011.37
20240212_064331,27.86,1012.29
20240212_064334,27.87,1009.39
20240212_064337,27.89,1018.06
20240212_064340,28.01,1007.36
20240212_064343,27.75,1002.73
20240212_064346,27.83,1007.80
20240212_064349,28.00,1010.11
20240212_064352,27.73,1011.91
20240212_064355,27.77,998.62
20240212_064358,27.81,1004.47
20240212_064401,27.92,1017.96
20240212_064404,27.73,1009.61
20240212_064407,27.79,1006.57
20240212_064410,27.93,1007.72
20240212_064413,28.12,1007.12
20240212_064416,27.79,1005.31
20240212_064419,27.94,1010.16
20240212_064422,27.77,1009.20
20240212_064425,27.74,1006.24
20240212_064428,27.89,1014.27
20240212_064431,27.83,1008.70
20240212_064434,27.88,1001.17
20240212_064437,28.02,1019.38
20240212_064440,27.78,1007.62
20240212_064443,27.82,1004.79
20240212_064446,27.91,1015.90
20240212_064449,27.73,1011.63
20240212_064452,27.72,1007.08
20240212_064455,27.93,1014.32
20240212_064458,27.83,1007.51
20240212_064501,28.00,1009.96
20240212_064504,27.93,1008.38
20240212_064507,27.92,998.75
20240212_064510,27.93,999.71
20240212_064513,28.06,1003.12
20240212_064516,27.87,1009.21
20240212_064519,27.87,1010.08
20240212_064522,27.85,1010.87
20240212_064525,27.84,1010.02
20240212_064528,27.84,1001.04
20240212_064531,27.93,1000.67
20240212_064534,27.90,1012.37
20240212_064537,27.88,1006.19
20240212_064540,27.84,1005.93
20240212_064543,28.23,1005.77
20240212_064546,27.79,1010.54
20240212_064549,27.87,1006.96
20240212_064552,27.94,1007.65
20240212_064555,27.79,1008.36
20240212_064558,27.85,1004.07
20240212_064601,27.71,1011.43
20240212_064604,27.94,1002.12
20240212_064607,27.95,1007.01
20240212_064610,27.69,1011.12
20240212_064613,27.77,1001.70
20240212_064616,27.94,1018.63
20240212_064619,27.76,1006.78
20240212_064622,27.82,1010.48
20240212_064625,27.81,1009.69
20240212_064628,27.86,1009.03
20240212_064631,27.87,1013.40
20240212_064634,27.82,1010.34
20240212_064637,27.89,1008.68
20240212_064640,27.79,1005.67
20240212_064643,27.84,1005.35
20240212_064646,27.93,1012.11
20240212_064649,28.01,999.32
20240212_064652,27.95,1011.29
20240212_064655,27.84,1005.25
20240212_064658,28.03,1007.21
20240212_064701,27.76,1005.62
20240212_064704,27.97,1014.20
20240212_064707,27.76,1012.94
20240212_064710,27.98,1006.72
20240212_064713,27.65,1012.97
20240212_064716,27.98,1019.28
20240212_064719,27.84,1002.89
20240212_064722,27.86,1015.95
20240212_064725,27.78,1010.81
20240212_064728,27.86,1013.09
20240212_064731,27.74,1011.56
20240212_064734,27.77,1003.74
20240212_064737,28.03,1012.71
20240212_064740,27.84,1008.76
20240212_064743,27.86,1007.77
20240212_064746,27.73,1008.56
20240212_064749,27.74,997.09
20240212_064752,27.78,1020.22
20240212_064755,27.97,1011.70
20240212_064758,27.93,1004.44
20240212_064801,27.82,997.26
20240212_064804,27.79,1007.60
20240212_064807,27.82,1005.13
20240212_064810,27.79,1000.89
20240212_064813,27.94,1007.12
20240212_064816,28.10,1012.46
20240212_064819,27.90,1004.26
20240212_064822,27.76,1003.32
20240212_064825,27.84,1009.36
20240212_064828,27.87,1010.44
20240212_064831,27.88,1005.74
20240212_064834,27.78,1006.76
20240212_064837,27.80,1018.28
20240212_064840,27.83,1009.09
20240212_064843,27.78,1004.18
20240212_064846,27.85,1002.71
20240212_064849,27.90,1016.98
20240212_064852,27.92,1012.91
20240212_064855,27.95,1007.10
20240212_064858,27.91,1013.52
20240212_064901,27.89,1006.77
20240212_064904,28.03,1003.99
20240212_064907,27.99,998.16
20240212_064910,27.91,1005.39
20240212_064913,27.82,1007.83
20240212_064916,27.99,1013.37
20240212_064919,27.82,1022.05
20240212_064922,27.84,1007.89
20240212_064925,27.66,1013.14
20240212_064928,27.86,1007.07
